name,milliseconds
Song For Lorraine,240091
Sobremesa,240091
Mellowship Slinky In B Major,240091
You Know My Name,240255
Lick It Up,240274
Prowler,240274
Realidade Virtual,240300
Emit Remmus,240300
Back to Black,240320
No One Like You,240325
Don't Tread On Me,240483
Angel,240561
Balada Do Amor Inabalável,240613
(White Man) In Hammersmith Palais,240640
Missa Papae Marcelli: Kyrie,240666
Your Mirror,240666
Faixa Amarela,240692
Blind Man,240718
The Fallen Angel,240718
I'm Losing You,240719
Requebra,240744
Something For Nothing,240770
Shining In The Light,240796
Uns Dias,240796
My Mistake,240901
Looks That Kill,240979
Don't Stand so Close to Me,241031
Balada Do Louco,241057
Voce Inteira,241084
O Amor Nao Sabe Esperar,241084
Malpractice,241371
Alô, Alô, Marciano,241397
Edie (Ciao Baby),241632
I Want It All,241684
Jump,241711
Heaven Coming Down,241867
Bleed The Freak,241946
Babyface,241998
Here I Am (Come And Take Me),242102
Caralho Voador,242102
The Everlasting Gaze,242155
Hallelujah Here She Comes,242364
L'Arc En Ciel De Miles,242390
Rock & Roll,242442
Sure Know Something,242468
Houses Of The Holy,242494
Você,242599
One Vision,242599
It Ain't Over 'Til It's Over,242703
Flash of The Blade,242729
Eu Amo Você,242782
Aviso Aos Navegantes,242808
Romaria,242834
Drifter,242834
The Gypsy,242886
Voce e Linda,242938
Red Mosquito,242991
Nobody's Home,243017
Johnny B. Goode,243200
Cold Hard Bitch,243278
Dona (Roupa Nova),243356
Cavalleria Rusticana \ Act \ Intermezzo Sinfonico,243436
Jean Pierre (Live),243461
Two Hearts Beat As One,243487
Let's See Action,243513
Saudade Louca,243591
The Power Of Equality,243591
Banditismo Por Uma Questa,243644
Brasil,243696
Tão Seu,243748
Mysterious Ways,243826
Real Thing,243879
Um Jantar Pra Dois,244009
Suzie-Q, Pt. 2,244114
Release,244114
Your Savior,244226
Minha Namorada,244297
Through The Never,244375
The Other Side,244375
Funk Hum,244453
I Could Have Lied,244506
À Francesa,244532
Trapped Under Ice,244532
Linha Do Equador,244715
Animal,244741
Romaria (Renato Teixeira),244793
It's The End Of The World As We Know It (And I Feel Fine),244819
Século XXI,244897
Falar A Verdade,244950
I Feel Good (I Got You) - Sossego,244976
Reggae Music,245106
Overkill,245133
Todo Amor (Asas Da Liberdade),245133
Emergency On Planet Earth,245263
Electrolite,245315
Radio Free Aurope,245315
Intoitus: Adorate Deum,245317
Wicked Garden,245368
Bad Seed,245394
Sapopemba e Maxambomba,245394
Pescador de Ilusões,245524
Os Exilados,245551
Caxangá,245551
Maquinarama,245629
Já Foi,245681
Bittersweet Me,245812
Selvagem,245890
Nem 5 Minutos Guardados,245995
Out On The Tiles,246047
Aquilo,246073
I Stand Alone,246125
Letterbomb,246151
Solo-Panhandler,246151
Chemical Wedding,246177
Better Man,246204
Hunger Strike,246292
Stormbringer,246413
Sons Of Freedom,246465
So Fine,246491
Amanda,246503
Sua Impossivel Chance,246622
Me In Honey,246674
Fogo De Palha,246804
13 Years Of Grief,246987
Belong,247013
Strange Kind Of Woman,247092
I Fucking Hate You,247170
De Do Do Do, De Da Da Da,247196
Whatever It Is, I Just Can't Stop,247222
Rocket,247248
Bored To Tears,247327
As Aparências Enganam,247379
Solução,247431
Hooks In You,247510
Malandragem,247588
Guanabara,247614
Música Ambiente,247614
Tailgunner,247640
Get What You Need,247719
Meu Mundo Fica Completo (Com Você),247771
Talk About Love,247823
Baião Da Penha,247928
Zé Trindade,247954
Set Me Free,247954
Afraid,248006
I'm Going Slightly Mad,248032
Spanish moss-"A sound portrait"-Spanish moss,248084
The Righteous & The Wicked,248084
Stars,248137
Beautiful Day,248163
Ipiranga 2001,248293
She,248346
Antene Se,248372
Mas Que Nada,248398
Slither,248398
Rock Of Ages,248424
Spoonman,248476
Can't Stop Loving You,248502
Hey, Johnny Park!,248528
Meu Guarda-Chuva,248528
Make Me Believe,248607
Photograph,248633
A Estrada,248842
Vendedor De Caranguejo (Live),248842
Friends Will Be Friends,248920
Bê-a-Bá,249051
Mean Disposition,249155
No Bone Movies,249208
Whiplash,249208
Breakthru,249234
You Oughta Know,249234
Radio/Video,249312
Set The Ray To Jerry,249364
What You Are,249391
It's A Hard Life,249417
Baby Break It Down,249417
Somebody Stole My Guitar,249443
Tailgunner,249469
No Clima,249495
Gone,249547
Muçulmano,249600
Macô,249600
Lindo Lago Do Amor,249678
I Can't Stand It,249730
Journey Into Sunlight,249756
This Is Radio Clash,249756
Country Feedback,249782
Girassol,249808
Give Me Love,249808
The Wanton Song,249887
Some Heads Are Gonna Roll,249939
Lithium,250017
Nimrod (Adagio) from Variations On an Original Theme, Op. 36 "Enigma",250031
Romance Ideal,250070
Ela Desapareceu,250122
Thumbing My Way,250226
Pulse,250253
Edge Of The World,250357
Sem Sentido,250462
Wooden Jesus,250565
Real Love,250697
Get Up Offa That Thing,250723
Everlong,250749
Fool For Your Loving,250801
You're Gonna Break My Hart Again,250853
Fates Warning,250853
1/2 Full,251010
Eat The Rich,251036
É Preciso Saber Viver,251115
Now You're Gone,251141
Crossfire,251219
Gran Circo,251297
Dead And Broken,251454
The Trooper,251454
Da Lama Ao Caos,251559
Love Is The Colour,251585
Mama, I'm Coming Home,251586
Last Cup Of Sorrow,251663
A Luz De Tieta,251742
Naquele Dia,251768
Eu Sou Neguinha (Ao Vivo),251768
Rollin' And Tumblin',251768
Big City Nights,251865
Midnight Cowboy,251924
Ligia,251977
Restless and Wild,252051
Candy Store Rock,252055
O Segundo Sol,252133
DOA,252186
Rapidamente,252238
Madagáscar Olodum,252264
Whatsername,252316
Revelations,252376
Flip The Switch,252421
She Give Me ...,252551
War (The Process),252630
So Fast, So Numb,252682
Beijo do Olhar,252682
08 - Charlotte the Harlot,252708
Releasing The Demons,252760
Losfer Words,252891
Sunshine Of Your Love,252891
Formigueiro,252943
Dindi (Dindi),253178
My Brother,253231
Pavan, Lachrimae Antiquae,253281
Crossroads,253335
Man On The Edge,253413
Peer Gynt Suite No.1, Op.46: 1. Morning Mood,253422
Purple Stain,253440
Cada Um Cada Um (A Namoradeira),253492
Pretty Noose,253570
The Midnight Special,253596
She Sells Sanctuary,253727
Stand Inside Your Love,253753
Gostava Tanto De Você,253805
Azul,253962
Custard Pie,253962
Heartbreaker,253988
Symphony No.1 in D Major, Op.25 "Classical", Allegro Con Brio,254001
Amor Demais,254040
Public Enema Number One,254197
Eu Disse A Ela,254223
Sure Know Something,254354
Hell Ain't A Bad Place To Be,254380
South Bound Saurez,254406
Drowning Man,254458
Catimbo,254484
Same Ol' Situation,254511
Are You Experienced?,254537
Every Breath You Take,254615
Johnny B. Goode,254615
In Bloom,254928
Sul Da América,254928
Two Fanfares for Orchestra: II. Short Ride in a Fast Machine,254930
(Anesthesia) Pulling Teeth,254955
Now I'm Here,255346
O Que Vai Em Meu Coração,255373
Rats,255425
Resurrection Joe,255451
As Dores do Mundo,255477
Radio Song,255477
Soul Education,255477
Your Time Has Come,255529
B.Y.O.B.,255555
Tailgunner,255582
Meu Bem-Querer,255608
Prowler,255634
Make Love Like A Man,255660
Tonight, Tonight,255686
Best Of You,255712
Tequila - Lourinha Bombril (Parate Y Mira),255738
Rock You Like a Hurricane,255766
God Of Thunder,255791
Doesn't Remind Me,255869
When Love Comes To Town,255869
Superhuman,255921
Diga Lá, Coração,255921
Otherside,255973
Revolution,256026
Onde Você Mora?,256026
Brand New Car,256052
Bloodsucker,256261
Leave My Girl Alone,256365
Caleidoscópio,256522
Warm Tape,256653
Safe and Sound,256764
Of Wolf And Man,256835
You Know I'm No Good,256946
Lithium,256992
For Your Babies,256992
Stillness In Time,257097
Blues Da Piedade,257123
I Belong To You,257123
Bark at the Moon,257252
Paths Of Glory,257253
O Livro Dos Dias,257253
When Love & Hate Collide,257280
Bullet With Butterfly Wings,257306
Turn You Inside-Out,257358
Vavoom : Ted The Mechanic,257384
Some Days Are Better Than Others,257436
A Twist In The Tail,257462
Corinna,257488
Hit The Lights,257541
Dead Horse,257600
Conciliação,257619
Love Removal Machine,257619
Too Much Is Not Enough,257724
Illegal I Song,257750
When I Look At The World,257776
This Is The Place,257906
Aonde Quer Que Eu Va,258089
Indios,258168
I Can't Quit You Baby,258168
Coração do Agreste (Fafá de Belém),258194
When Love Comes To Town,258194
Deep,258324
Never Say Die,258343
O Braço Da Minha Guitarra,258351
Murders In The Rue Morgue,258377
The Chase Is Better Than The Catch,258403
Socorro,258586
Murders In The Rue Morgue,258638
Different World,258692
The Assassin,258768
The Witch,258768
Requiem, Op.48: 4. Pie Jesu,258924
Bonzo's Montreux,258925
New Year's Day,258925
I Want To Break Free,259108
Life During Wartime,259186
Straight Out Of Line,259213
Universally Speaking,259213
Samba Pra Endrigo,259265
O Que É O Que É ?,259291
06 - Transylvania,259343
Love Ain't No Stranger,259395
Bron-Y-Aur Stomp,259500
Opachorô (Live),259526
Rock And Roll All Nite,259631
Tuiuti,259657
Stand By My Woman,259683
Podres Poderes,259761
World Leader Pretend,259761
Two Steps Behind [Acoustic Version],259787
From Here To Eternity,259866
Aquarela (Toquinho),259944
Sunchild,259970
Bring It On Home,259970
Changes,260022
My Hero,260101
Sound of a Gun,260154
Higher Ground,260179
Música De Trabalho,260231
Meu Caro Amigo,260257
Numb,260284
Wanted Dread And Alive,260310
God,260410
Move On,260623
Cuyahoga,260623
What is and Should Never Be,260675
Moby Dick,260728
Soul Power (Live),260728
Boulevard Of Broken Dreams,260858
Re-Align,260884
Lamento Sertanejo,260963
Esperando Na Janela,261041
Assaltaram A Gramática,261041
Every Little Thing She Does is Magic,261120
Siva,261172
Flying High Again,261224
Dee,261302
14 Years,261355
Hitsville UK,261433
Ava Adore,261433
Honolulu,261433
Tenho Sede,261616
Esperando Por Mim,261668
O Dia Em Que A Terra Parou,261720
Mocidade,261720
American Woman,261773
Erlkonig, D.328,261849
Quadrant,261851
Waiting On A Sign,261903
Iron Maiden,261955
I Know Somethin (Bout You),261955
Hero Of The Day,261982
Yahweh,262034
Please Read The Letter,262112
Miséria,262191
Cold Gin,262243
The Clairvoyant,262426
Join Together,262556
A Kind Of Magic,262608
Maria Maria,262635
The Right Thing,262687
Menino do Rio,262713
Quem Mata A Mulher Mata O Melhor,262791
I Can See For Miles,262791
The Deeper The Love,262791
Speed Of Light,262817
Navegar Impreciso,262870
D'Yer Mak'er,262948
O Descobridor Dos Sete Mares,262974
Dois Pra Lá, Dois Pra Cá,263026
A Paz,263183
Midlife Crisis,263235
Marker In The Sand,263235
Set It Off,263262
Breaking The Rules,263288
Pela Internet (Live),263471
Evil Walks,263497
Love Is Blindness,263497
Condição,263549
1979,263653
All My Life,263653
Surfing with the Alien,263707
The Show Must Go On,263784
I Need Love,263836
I Can't Quit You Baby,263836
Love Don't Mean a Thing,263862
I Shot The Sheriff,263862
Fairground,263888
Out Ta Get Me,263893
No Prayer For The Dying,263941
Aquele Abraço,263993
Little Linda,264019
I Go Wild,264019
Férias,264202
Escape,264359
Marvin,264359
Under The Bridge,264359
Speed King,264385
Knockin On Heavens Door,264411
Realce,264489
Anthem,264515
Preto Damião,264568
All Along The Watchtower,264568
Rag Doll,264698
The Wizard,264829
Dude (Looks Like A Lady),264855
Pretinha,265273
Gates Of Urizen,265351
Working Class Hero,265449
24 Caprices, Op. 1, No. 24, for Solo Violin, in A Minor,265541
Big Machine,265613
Trastevere,265665
Buk-In-Hamm Palace,265665
Naked In The Rain,265717
The Prince,265769
Another Round,265848
Transylvania,265874
Freewheel Burning,265952
Longe Do Meu Lado,266161
A.N.D.R.O.T.A.Z.,266266
Release,266292
Wide Awake,266308
Times Like These,266370
It Was A Very Good Year,266605
Felicidade Urgente,266605
Bitter Pill,266814
Midnight,266866
Gone,266866
Kite,266893
Wild Hearted Son,266893
Here's To The Atom Bomb,266893
A Tarde,266919
OAM's Blues,266936
The Clairvoyant,267023
Poeira,267075
Sábado A Noite,267363
Silence the Voices,267376
Head Over Feet,267493
Faltando Um Pedaço,267728
Bad Boy Boogie,267728
Rusty Cage,267728
Pride (In The Name Of Love),267807
High Ball Shooter,267833
The Last To Know,267833
Sucker Train Blues,267859
Caffeine,267937
My Ship,268016
Fantasia On Greensleeves,268066
Muita Estrela, Pouca Constelação,268068
Sting Me,268094
Low,268120
Sina,268173
Não Deixe O Samba Morrer - Cassia Eller e Alcione,268173
Suck On The Jugular,268225
Bad Apples,268351
Money's Too Tight To Mention,268408
The Magnificent Seven,268486
Nightrain,268537
Saudade Dos Aviões Da Panair (Conversando No Bar),268721
Butterfly,268852
The Trooper,268878
Without You,268956
The Fly,268982
Equinocio,269008
Losing My Religion,269035
Tradição,269165
Chico Não Vai na Corimba,269374
Can't Stop,269400
Ricochet,269400
Aces High,269531
Xote Dos Milagres,269557
Killing Floor,269557
Fuel,269557
Until It Sleeps,269740
Eu So Queria Sumir,269740
Enslaved,269844
The Clairvoyant,269871
Vício,269897
Há Quanto Tempo,270027
It Doesn't Matter,270027
C'est La Vie,270053
Holding Back The Years,270053
Pétala,270080
Stripsearch,270106
A Man And A Woman,270132
Bumbo Da Mangueira,270158
Holy Man,270236
1° De Julho,270262
Acrobat,270288
Girls, Girls, Girls,270288
Timothy,270341
Severed Hand,270341
Vai Adiar,270393
Come Around Again,270497
Drown,270497
Palco,270550
Overdrive,270550
Cuando A Noite Vai Chegando,270628
Parallel Universe,270654
Kindergarten,270680
Walter's Walk,270785
Spellbound,270863
You Are,270863
Fall To Pieces,270889
Açai,270968
A Volta Da Asa Branca,271020
Oração,271072
The Ocean,271098
How The West Was Won And Where It Got Us,271151
Blood Sugar Sex Magik,271229
Eduardo E Mônica,271229
I Was Made For Loving You,271360
Aneurysm,271516
Wave (Vou te Contar),271647
Canon and Gigue in D Major: I. Canon,271788
Samba Makossa,271856
Canta, Canta Mais,271856
On The Mend,271908
The Beginning...At Last,271960
Abrir A Porta,271960
Plan B,272039
I Put A Spell On You,272091
Radio Song,272117
Fica,272169
Don't Go Back To Rockville,272352
Stuck In A Moment You Can't Get Out Of,272378
Samidarish [Instrumental],272431
Bankrobber,272431
Bringin' On The Heartbreak,272457
200 Years Old,272561
2112 Overture,272718
Childhoods End?,272796
Space Truckin',272796
Ponta de Areia,272796
A Cor Do Sol,273031
Send Me an Angel,273041
Abraham, Martin And John,273057
Headlong,273057
Maracatu Atômico [Atomic Version],273084
Black Country Woman,273084
Disappearing Act,273320
It's a Mistake,273371
Disenchanted Lullaby,273528
The Trooper,273528
Welcome to the Jungle,273552
Playtime,273580
Phoney Smile Fake Hellos,273606
Everything's Ruined,273658
Heart of the Night,273737
Sweet Lady Luck,273737
Yesterday To Tomorrow,273763
Can't Get You Off My Mind,273815
X-9 2001,273920
Blinded By Rainbows,273946
The Evil That Men Do,273998
Do what cha wanna,274155
Lilás,274181
Heart Of Soul,274207
Best Thing,274259
Children of the Damned,274364
Admirável Gado Novo,274390
Nabucco: Chorus, "Va, Pensiero, Sull'ali Dorate",274504
A Room At The Heartbreak Hotel,274546
Shape of Things to Come,274597
A Moça e a Chuva,274625
Give Peace a Chance,274644
Mun-Ra,274651
Tears In Heaven,274729
Leandro De Itaquera 2001,274808
Chão de Giz (Elba Ramalho),274834
Serenity,274834
Your Time Is Gonna Come,274860
Living Wreck,274886
Romeo et Juliette: No. 11 - Danse des Chevaliers,275015
The Number Of The Beast,275121
O Velho E Aflor,275121
Jubilee,275147
Spread Your Wings,275356
Run Silent Run Deep,275408
The Wicker Man,275539
Twice As Hard,275565
Susie Q,275565
Ramble On,275591
Ao Meu Redor,275591
Quase Um Segundo,275644
Nos Bailes Da Vida,275748
Flor Do Futuro,275748
My Way,275879
Hooked Up,275879
Eu E Ela,276035
Tudo Igual,276035
Corazon Espinado,276114
One,276192
Where The Streets Have No Name,276218
A Touch Away,276323
Vai-Vai 2001,276349
Zoo Station,276349
Aces High,276375
Heading Out To The Highway (Live),276427
Love Boat Captain,276453
Like A Bird,276532
Perfeição,276558
Nasty Piece Of Work,276662
Heaven's Dead,276688
Wild Side,276767
New Rhumba,276871
Jah Seh No,276871
Staring At The Sun,276924
Stormbringer,277133
Lonely As You,277185
Seduzir,277524
It Ain't Like That,277577
Madama Butterfly: Un Bel Dì Vedremo,277639
All or None,277655
Luminous Times (Hold On To Love),277760
Life Line,277786
Show Me How to Live,277890
New Rhumba,277968
Walking Wounded,277968
Don't Forget Me,277995
Sereia,278047
Fé Cega, Faca Amolada,278099
Dandelion,278125
Saudosa Maloca,278125
Toda Menina Baiana,278177
Children Of The Damned,278177
Sunday Bloody Sunday,278204
L'Avventura,278256
#9 Dream,278312
Dr. Heckyll & Mr. Jive,278465
Nothingman,278595
Juventude Transviada (Ao Vivo),278622
Until The End Of The World,278700
Free Me,278700
One Man's Meat,278804
Misty Mountain Hop,278857
Água E Fogo,278987
My Lovely Man,279118
Crack Hitler,279144
The Memory Remains,279353
Sem Terra,279353
Gasoline,279457
Be Yourself,279484
Linha Do Horizonte,279484
Garota De Ipanema,279536
One Minute Warning,279693
Silver And Gold,279875
Don't Go Away Mad (Just Go Away),279980
A Via Láctea,280084
Momentos Que Marcam,280137
I'm Coming Virginia,280163
Bastille Day,280528
The Playboy Mansion,280555
Childhood's End,280607
Mary Jane,280607
Sombras Do Meu Destino,280685
The Evil That Men Do,280737
I Still Haven't Found What I'm Looking For,280764
Only the Good Die Young,280894
A Cura,280920
Esquinas,280999
Tightrope,281155
Freedom Of Speech,281234
Walking On The Water,281286
Billie Jean,281401
Cold Turkey,281424
Original Of The Species,281443
Slug,281469
Jump In The Fire,281573
Perola Negra 2001,281626
Vida Boa,281730
The Wicker Man,281782
Deeper Underground,281808
Heart-Shaped Box,281887
Born To Booze,282122
Sunday Bloody Sunday,282174
A Estrada,282174
Lazy Gun,282174
Earth Mofo,282200
Samba da Bençaco,282200
Apache Rose Peacock,282226
Solitaire,282226
Tyrant (Live),282253
Don't Take Your Love From Me,282331
Fell On Black Days,282331
Stir It Up (Live),282409
Can I Play With Madness,282488
The Mercenary,282488
Mocidade Alegre 2001,282488
Dr. Feelgood,282618
I Can't Quit You Baby,282671
Love Comes Tumbling,282671
The Wizard,282678
The Mercenary,282697
Gavioes 2001,282723
Africa Bamba,282827
Living In America,282880
Give It Away,283010
Sick Again,283036
Mama Africa,283062
I Don't Know,283088
King In Crimson,283167
Bye, Bye Brasil,283402
Camisa Verde 2001,283454
Kickstart My Heart,283559
Don't Lie To Me,283585
Cascades : I'm Not Your Lover,283689
Every Time I Look At You,283898
Is This Love,283924
The Purpendicular Waltz,283924
The Wanderer,283951
Fire In The Basement,283977
The Great Gig In The Sky,284055
Lost My Better Half,284081
Acelerou,284081
Pura Elegancia,284107
Hots On For Nowhere,284107
Acelerou,284133
Deus,284160
Aguia De Ouro 2001,284160
Rearviewmirror,284186
Don't Cry,284238
Bring Your Daughter... ...To The Slaughter,284238
Maracatu Atômico,284264
Rosas De Ouro 2001,284342
Blood In The Wall,284368
From Here To Eternity,284447
Four Sticks,284447
Planet Home,284447
Anyone's Daughter,284682
Morro Da Casa Verde 2001,284708
Don't Cry (Original),284744
Expresso 2222,284760
Chão De Estrelas,284813
All I Really Want,284891
Parabolicamará,284943
Nene 2001,284969
Sunshine,284969
Garota De Ipanema,285048
The Trees,285126
Put Your Lights On,285178
A Sombra Da Maldade,285231
The Tower,285257
Estrela (Live),285309
Layla,285387
Sweethearts Together,285492
Partita in E Major, BWV 1006A: I. Prelude,285673
Batalha Naval,285727
Last Night On Earth,285753
Fight Fire With Fire,285753
Wake Me Up When September Ends,285753
Supernaut,285779
Din Din Wo (Little Child),285837
Diversão,285936
Primal Scream,286197
Idolatrada,286249
Changes,286275
Entre E Ouça,286302
Blissed & Gone,286302
Se...,286432
Man In The Box,286641
Rios Pontes & Overdrives,286720
Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia,286741
Midnight From The Inside Out,286981
Symphony No. 2, Op. 16 -  "The Four Temperaments": II. Allegro Comodo e Flemmatico,286998
Vulcão Dub - Fui Eu,287059
Smells Like Teen Spirit,287190
Tease Me Please Me,287229
Like A Song...,287294
The Last Time,287294
Pretty Tied Up,287477
Surrender,287634
Mother,287740
Thank You,287791
Soon Forgotten,287791
Ando Meio Desligado,287817
Dancing Barefoot,287895
Tucuruvi 2001,287921
What Is And What Should Never Be,287973
The More I See,287973
Sad But True,288208
Lords of Karma,288227
Peace On Earth,288496
Resolve,288731
J Squared,288757
Drifter,288757
Walk To The Water,289253
Imagination,289306
February Stars,289306
Where Eagles Dare,289358
Adios nonino,289388
Nico,289488
5.15,289619
Copacabana (Live),289671
Emerald,289750
Taj Mahal,289750
Na Frente Da TV,289750
Half The Man,289854
Over The Hills And Far Away,290089
1º De Julho,290298
Lightning Strikes Twice,290377
Maybe I'm A Leo,290455
Metal Meltdown,290664
Aprendendo A Jogar,290664
Love And Peace Or Else,290690
Flying High Again,290851
Black Velveteen,290899
Message in a Bottle (new classic rock mix),290951
El Farol,291160
Out Of Exile,291291
Message in a Bottle,291474
Starburst,291500
Dreams,291813
O Xote Das Meninas,291866
Slave,291892
Mack The Knife,292075
Stone Dead Forever,292127
Burden In My Hand,292153
Run To The Hills,292179
Ram It Down,292179
Um Dia Qualquer,292414
Babylon,292466
Forty Days Instrumental,292493
Savior,292493
Pour Some Sugar On Me,292519
Wake Up Dead Man,292832
Wishing It Was,292832
Cry For Love,293015
Miami,293041
A Paz,293093
If I Like It, I Do It,293093
Sanctuary,293250
Esporrei Na Manivela,293276
Razor,293276
The Number Of The Beast,293407
Wake Up,293485
Evidence,293590
Don't Stand So Close to Me '86,293590
Televisão,293668
Evenflow,293720
Call Of The Wild,293851
Epic,294008
The Number Of The Beast,294008
Like a Stone,294034
Moon germs,294060
The Fugitive,294112
Unchained Melody,294164
Band Members Discuss Tracks from "Revelations",294294
Cure,294347
Still Life,294347
Eye,294530
Lamento De Carnaval,294530
The Number Of The Beast,294635
Mel,294765
The Miracle,294974
Soul Parsifal,295053
The Unwritten Law,295053
Believe,295131
The Unforgettable Fire,295183
Do You Have Other Loves?,295235
Is This Love (Live),295262
Serrado,295314
The Wait,295418
Beira Mar,295444
Breaking The Girl,295497
Westwood Moon,295627
Walk On Water,295680
Midnight,295810
Snowblind,295960
Crazy Train,295960
Let's Get Rocked,296019
Valentino's,296124
De Ja Vu,296176
Gallows Pole,296228
Sao Lucas 2001,296254
Walk On,296280
Wrote A Song For Everyone,296385
Soul Sacrifice,296437
Black Dog,296672
Low,296777
Os Cegos Do Castelo,296829
Let It Grow,297064
A Small Victory,297168
Somebody To Love,297351
Loud Love,297456
Who Wants To Live Forever,297691
Moth,298049
Have It All,298057
So Beautiful,298083
When Evening Falls,298135
Smooth,298161
Alarum,298187
Mangueira,298318
Dust N' Bones,298374
Onde Você Mora?,298396
Burn Away,298396
Stay (Faraway, So Close!),298475
Rebelião,298527
Midnight Blue,298631
Woman Of The World (Ao Vivo),298919
Take This Bottle,298997
With Or Without You,299023
#1 Zero,299102
Camarão que Dorme e Onda Leva,299102
The Spirit Of Radio,299154
Garden,299154
Who Are You (Single Edit Version),299232
Linha Do Equador,299337
Sonata for Solo Violin: IV: Presto,299350
Cherub Rock,299389
Winterlong,299389
Getaway Car,299598
Queixa,299676
Breathe,299781
(1954 rows)
